date,open,high,low,close,volume,Name
2018-01-12,36.91,37.6,36.8,37.51,1550978,PDCO
2018-01-16,37.65,38.52,37.0249,38.13,1840817,PDCO
2018-01-17,38.32,38.32,36.65,36.85,1675398,PDCO
2018-01-18,36.75,37.0262,36.25,36.34,1195591,PDCO
2018-01-19,36.48,36.7,36.2,36.6,1809630,PDCO
2018-01-22,36.67,37.16,36.67,37.02,1271744,PDCO
2018-01-23,37.14,37.14,36.75,36.88,586851,PDCO
2018-01-24,37.01,37.61,36.85,37.21,807204,PDCO
2018-01-25,37.29,37.54,37.13,37.37,935527,PDCO
2018-01-26,37.67,37.74,37.23,37.57,962568,PDCO
2018-01-29,37.49,38.2,37.38,37.76,983259,PDCO
2018-01-30,37.37,37.57,36.67,36.74,934250,PDCO
2018-01-31,36.83,36.83,35.69,35.89,1260959,PDCO
2018-02-01,35.62,35.77,35.15,35.66,1193119,PDCO
2018-02-02,35.49,36.04,35.2,35.22,1176925,PDCO
2018-02-05,35.04,35.31,33.58,33.69,1153303,PDCO
2018-02-06,33.07,34.43,32.74,34.33,1561371,PDCO
2018-02-07,34.22,34.72,33.83,33.85,1163088,PDCO
